gen,stage,mean_fit,max_fit,sigma,eval_return,arrivals,charged,cells,bumps,fell,flat,secs
664,3,134.3,206.81,0.0701,184.07,1.917,0.136,8.0,8.08,0.0,0.25,6.05
665,3,82.24,158.25,0.07,,,,,,,,5.03
666,3,204.13,264.49,0.07,,,,,,,,5.25
667,3,296.84,383.88,0.0699,,,,,,,,5.04
668,3,206.78,297.23,0.0698,,,,,,,,5.83
669,3,266.21,347.18,0.0698,228.27,2.25,0.179,10.17,9.0,0.0,0.167,5.91
670,3,141.81,212.44,0.0697,,,,,,,,5.01
671,3,308.98,388.57,0.0696,,,,,,,,5.32
672,3,181.31,233.05,0.0695,,,,,,,,5.53
673,3,221.37,303.01,0.0695,,,,,,,,6.03
674,3,235.01,296.11,0.0694,198.69,2.167,0.136,9.17,12.25,0.083,0.25,5.81
675,3,246.77,322.23,0.0693,,,,,,,,5.6
676,3,193.52,304.98,0.0693,,,,,,,,5.5
677,3,213.93,278.12,0.0692,,,,,,,,6.21
678,3,284.77,358.02,0.0691,,,,,,,,6.34
679,3,177.37,293.46,0.0691,189.44,2.0,0.109,9.58,7.92,0.0,0.333,5.93
680,3,319.45,409.66,0.069,,,,,,,,5.93
681,3,229.57,293.23,0.0689,,,,,,,,6.51
682,3,251.5,333.92,0.0689,,,,,,,,5.23
683,3,114.92,190.14,0.0688,,,,,,,,5.52
684,3,222.61,295.39,0.0687,202.39,2.0,0.146,10.0,7.25,0.083,0.167,4.85
685,3,173.93,238.62,0.0686,,,,,,,,5.75
686,3,191.44,305.69,0.0686,,,,,,,,5.92
687,3,175.91,273.13,0.0685,,,,,,,,4.93
688,3,249.08,316.68,0.0684,,,,,,,,5.92
689,3,280.54,354.24,0.0684,215.75,2.333,0.141,10.25,17.58,0.0,0.167,5.86
690,3,377.87,479.56,0.0683,,,,,,,,6.1
691,3,231.19,312.18,0.0682,,,,,,,,5.97
692,3,151.72,225.22,0.0682,,,,,,,,7.02
693,3,137.36,200.33,0.0681,,,,,,,,5.71
694,3,120.4,197.81,0.068,215.46,2.0,0.159,9.08,8.92,0.0,0.25,5.33
695,3,261.69,337.41,0.068,,,,,,,,6.17
696,3,172.21,277.88,0.0679,,,,,,,,6.0
697,3,232.38,340.55,0.0678,,,,,,,,5.68
698,3,217.26,315.98,0.0678,,,,,,,,5.95
699,3,217.9,322.23,0.0677,236.48,2.167,0.21,11.0,23.42,0.0,0.083,6.04
700,3,248.49,347.1,0.0676,,,,,,,,6.09
701,3,130.82,217.35,0.0676,,,,,,,,6.42
702,3,216.45,298.22,0.0675,,,,,,,,6.42
703,3,274.9,347.38,0.0674,,,,,,,,5.87
704,3,264.43,352.61,0.0674,201.84,1.917,0.145,10.17,19.33,0.083,0.167,5.09
705,3,309.69,405.29,0.0673,,,,,,,,6.57
706,3,178.36,285.73,0.0672,,,,,,,,5.9
707,3,239.44,317.76,0.0672,,,,,,,,5.66
708,3,133.48,230.04,0.0671,,,,,,,,5.97
709,3,210.35,290.59,0.067,214.65,2.25,0.166,10.5,18.5,0.0,0.167,5.82
710,3,219.61,298.54,0.0669,,,,,,,,5.98
711,3,170.16,268.65,0.0669,,,,,,,,6.51
712,3,243.96,314.76,0.0668,,,,,,,,5.75
713,3,124.33,198.29,0.0667,,,,,,,,5.66
714,3,273.62,361.14,0.0667,237.58,2.25,0.212,10.17,15.67,0.0,0.083,5.46
715,3,228.39,318.53,0.0666,,,,,,,,5.96
716,3,219.0,335.64,0.0665,,,,,,,,6.69
717,3,252.31,322.48,0.0665,,,,,,,,5.49
718,3,259.14,348.24,0.0664,,,,,,,,6.09
719,3,191.99,278.92,0.0663,193.06,1.667,0.199,9.17,24.5,0.0,0.083,5.99
720,3,255.63,347.48,0.0663,,,,,,,,5.98
721,3,150.33,261.7,0.0662,,,,,,,,5.88
722,3,142.87,221.56,0.0662,,,,,,,,5.83
723,3,335.1,414.64,0.0661,,,,,,,,5.75
724,3,198.2,280.61,0.066,210.7,1.667,0.159,11.42,14.5,0.0,0.083,5.88
725,3,132.31,225.65,0.066,,,,,,,,5.48
726,3,202.03,269.82,0.0659,,,,,,,,5.83
727,3,189.73,266.95,0.0658,,,,,,,,5.83
728,3,107.64,199.61,0.0658,,,,,,,,6.67
729,3,243.58,346.86,0.0657,208.51,1.833,0.208,11.5,22.17,0.083,0.167,5.7
730,3,236.09,327.05,0.0656,,,,,,,,6.62
731,3,218.24,308.84,0.0656,,,,,,,,5.54
732,3,191.37,273.09,0.0655,,,,,,,,5.9
733,3,196.36,276.65,0.0654,,,,,,,,5.45
734,3,322.24,419.69,0.0654,212.55,2.0,0.171,10.58,21.58,0.083,0.083,5.39
735,3,190.71,265.92,0.0653,,,,,,,,5.75
736,3,253.59,328.55,0.0652,,,,,,,,5.74
737,3,235.62,309.33,0.0652,,,,,,,,5.67
738,3,197.55,252.66,0.0651,,,,,,,,5.73
739,3,152.86,255.38,0.065,209.85,1.917,0.152,9.17,10.0,0.167,0.167,6.22
740,3,210.19,271.73,0.065,,,,,,,,5.83
741,3,208.72,263.78,0.0649,,,,,,,,5.22
742,3,296.67,375.8,0.0648,,,,,,,,5.74
743,3,240.84,316.95,0.0648,,,,,,,,5.95
744,3,220.72,283.25,0.0647,234.23,2.25,0.168,11.08,16.42,0.0,0.083,5.88
745,3,262.8,361.27,0.0646,,,,,,,,5.45
746,3,307.83,394.35,0.0646,,,,,,,,6.03
747,3,291.36,386.09,0.0645,,,,,,,,6.04
748,3,251.39,345.51,0.0645,,,,,,,,5.84
749,3,189.32,265.85,0.0644,182.21,1.5,0.207,7.58,15.42,0.0,0.083,5.86
750,3,262.96,375.33,0.0643,,,,,,,,5.93
751,3,243.71,320.24,0.0643,,,,,,,,5.4
752,3,319.58,424.34,0.0642,,,,,,,,5.2
753,3,205.13,285.53,0.0641,,,,,,,,6.49
754,3,281.07,371.71,0.0641,180.57,2.083,0.189,10.33,45.92,0.0,0.083,5.86
755,3,276.46,397.34,0.064,,,,,,,,5.87
756,3,183.77,249.4,0.0639,,,,,,,,5.7
757,3,211.98,287.0,0.0639,,,,,,,,5.71
758,3,238.1,310.41,0.0638,,,,,,,,6.06
759,3,296.58,380.82,0.0637,229.78,1.917,0.16,12.58,15.5,0.083,0.167,5.79
760,3,210.76,279.84,0.0637,,,,,,,,5.78
761,3,228.1,302.73,0.0636,,,,,,,,4.97
762,3,159.95,210.59,0.0636,,,,,,,,6.34
763,3,75.44,197.85,0.0635,,,,,,,,5.75
764,3,250.37,333.09,0.0634,187.37,1.5,0.171,10.75,15.5,0.167,0.083,6.1
765,3,255.41,330.53,0.0634,,,,,,,,5.22
766,3,193.53,277.06,0.0633,,,,,,,,6.08
767,3,252.7,378.65,0.0632,,,,,,,,5.86
768,3,290.59,391.78,0.0632,,,,,,,,6.06
769,3,195.56,279.87,0.0631,209.1,1.917,0.188,9.33,3.5,0.167,0.083,5.81
770,3,183.64,243.98,0.063,,,,,,,,6.32
771,3,204.23,261.05,0.063,,,,,,,,6.24
772,3,131.34,237.88,0.0629,,,,,,,,5.72
773,3,271.23,342.23,0.0629,,,,,,,,5.6
774,3,242.94,329.06,0.0628,190.58,1.833,0.151,9.42,13.83,0.0,0.083,6.14
775,3,175.38,288.4,0.0627,,,,,,,,5.72
776,3,207.71,281.97,0.0627,,,,,,,,5.43
777,3,165.59,231.74,0.0626,,,,,,,,6.11
778,3,202.45,272.27,0.0625,,,,,,,,6.21
779,3,240.33,318.63,0.0625,268.05,2.583,0.195,12.17,2.08,0.0,0.083,5.4
780,3,215.28,299.44,0.0624,,,,,,,,6.61
781,3,257.79,337.58,0.0624,,,,,,,,5.78
782,3,128.4,206.26,0.0623,,,,,,,,6.08
783,3,287.1,340.49,0.0622,,,,,,,,5.59
784,3,276.01,337.51,0.0622,206.83,2.25,0.145,9.83,13.33,0.0,0.167,6.48
785,3,331.68,399.29,0.0621,,,,,,,,5.71
786,3,202.71,305.12,0.062,,,,,,,,6.22
787,3,321.7,417.97,0.062,,,,,,,,5.27
788,3,310.94,374.54,0.0619,,,,,,,,5.37
789,3,315.31,408.99,0.0619,226.1,1.833,0.22,10.75,2.58,0.083,0.167,6.27
790,3,151.95,253.16,0.0618,,,,,,,,6.54
791,3,309.02,432.24,0.0617,,,,,,,,5.91
792,3,282.72,358.18,0.0617,,,,,,,,5.53
793,3,190.33,283.05,0.0616,,,,,,,,5.23
794,3,176.75,236.54,0.0616,215.83,1.917,0.205,10.92,7.5,0.167,0.083,5.98
795,3,280.99,367.64,0.0615,,,,,,,,5.99
796,3,311.22,401.34,0.0614,,,,,,,,6.02
797,3,230.02,337.89,0.0614,,,,,,,,5.09
798,3,181.25,239.74,0.0613,,,,,,,,5.44
799,3,202.78,300.71,0.0612,223.24,1.917,0.236,10.33,4.5,0.167,0.083,4.9
800,3,269.29,323.92,0.0612,,,,,,,,5.11
801,3,248.74,332.41,0.0611,,,,,,,,6.23
802,3,195.51,255.72,0.0611,,,,,,,,6.13
803,3,250.63,322.48,0.061,,,,,,,,5.56
804,3,235.69,304.12,0.0609,260.75,2.833,0.194,10.0,8.75,0.0,0.083,5.26
