gen,stage,mean_fit,max_fit,sigma,eval_return,arrivals,charged,cells,bumps,fell,flat,secs
149,3,246.3,334.99,0.0689,188.63,1.9,0.0,11.0,13.5,0.1,0.0,5.17
150,3,55.0,145.94,0.0688,,,,,,,,5.77
151,3,207.49,323.76,0.0687,,,,,,,,5.03
152,3,142.64,259.68,0.0686,,,,,,,,5.9
153,3,128.75,266.27,0.0686,,,,,,,,6.29
154,3,178.96,273.5,0.0685,243.83,2.7,0.0,12.0,16.2,0.0,0.0,5.01
155,3,244.9,427.01,0.0684,,,,,,,,5.74
156,3,135.0,234.45,0.0684,,,,,,,,6.02
157,3,230.84,372.76,0.0683,,,,,,,,6.07
158,3,136.29,243.91,0.0682,,,,,,,,6.05
159,3,97.02,214.58,0.0682,249.83,2.4,0.0,15.1,15.6,0.0,0.0,6.83
160,3,210.79,336.75,0.0681,,,,,,,,6.05
161,3,138.85,196.16,0.068,,,,,,,,5.46
162,3,190.85,294.42,0.068,,,,,,,,6.05
163,3,54.14,221.53,0.0679,,,,,,,,5.66
164,3,207.8,320.72,0.0678,188.43,1.8,0.0,11.5,6.6,0.0,0.0,6.39
165,3,193.3,358.66,0.0678,,,,,,,,5.87
166,3,128.47,222.08,0.0677,,,,,,,,6.23
167,3,145.21,270.69,0.0676,,,,,,,,6.41
168,3,141.68,224.88,0.0676,,,,,,,,7.02
169,3,150.65,274.32,0.0675,238.26,2.3,0.0,18.5,38.8,0.0,0.0,6.53
170,3,162.28,284.5,0.0674,,,,,,,,6.51
171,3,313.84,406.56,0.0674,,,,,,,,5.04
172,3,133.32,274.8,0.0673,,,,,,,,6.73
173,3,90.04,258.45,0.0672,,,,,,,,5.91
174,3,136.61,301.37,0.0672,238.49,2.3,0.001,14.2,13.7,0.0,0.0,5.99
175,3,91.14,174.5,0.0671,,,,,,,,6.07
176,3,238.22,318.89,0.067,,,,,,,,5.97
177,3,248.04,371.92,0.0669,,,,,,,,5.99
178,3,162.93,261.49,0.0669,,,,,,,,6.59
179,3,153.08,261.15,0.0668,214.93,1.8,0.001,13.5,4.7,0.0,0.0,5.82
180,3,146.1,286.61,0.0667,,,,,,,,5.82
181,3,204.2,356.11,0.0667,,,,,,,,5.42
182,3,220.79,291.45,0.0666,,,,,,,,6.06
183,3,184.55,352.63,0.0665,,,,,,,,6.77
184,3,194.78,297.6,0.0665,213.56,1.8,0.0,15.6,14.4,0.0,0.0,5.65
185,3,233.8,372.88,0.0664,,,,,,,,6.19
186,3,126.41,253.78,0.0663,,,,,,,,6.07
187,3,193.81,314.47,0.0663,,,,,,,,5.94
188,3,50.53,170.11,0.0662,,,,,,,,6.0
189,3,184.8,280.86,0.0662,272.99,2.5,0.002,15.1,8.7,0.0,0.0,6.06
190,3,231.77,397.28,0.0661,,,,,,,,5.75
191,3,147.1,246.27,0.066,,,,,,,,6.02
192,3,165.03,226.12,0.066,,,,,,,,5.71
193,3,211.22,311.17,0.0659,,,,,,,,6.31
194,3,221.7,316.95,0.0658,270.92,2.3,0.004,17.9,13.0,0.0,0.0,5.71
195,3,138.55,225.13,0.0658,,,,,,,,6.64
196,3,222.48,350.03,0.0657,,,,,,,,5.81
196,3,193.56,296.99,0.0799,172.43,2.25,0.001,9.75,11.33,0.0,0.083,4.88
197,3,202.86,302.18,0.0798,,,,,,,,5.85
198,3,129.88,251.81,0.0798,,,,,,,,5.63
199,3,193.28,274.78,0.0797,174.24,2.333,0.0,12.83,26.83,0.0,0.083,5.41
200,3,188.45,258.67,0.0796,,,,,,,,5.55
201,3,244.14,413.13,0.0795,,,,,,,,5.45
202,3,176.29,318.48,0.0794,,,,,,,,6.05
203,3,56.66,132.51,0.0794,,,,,,,,5.64
204,3,241.77,357.16,0.0793,156.87,2.083,0.002,10.42,27.25,0.0,0.083,6.33
205,3,172.91,257.2,0.0792,,,,,,,,5.01
206,3,122.61,257.03,0.0791,,,,,,,,5.73
207,3,161.95,241.34,0.079,,,,,,,,5.57
208,3,105.98,166.22,0.079,,,,,,,,4.73
209,3,185.0,273.24,0.0789,178.39,2.167,0.004,11.42,12.17,0.0,0.083,5.21
210,3,154.57,263.38,0.0788,,,,,,,,5.08
211,3,114.33,183.32,0.0787,,,,,,,,5.15
212,3,151.91,263.63,0.0787,,,,,,,,6.2
213,3,206.26,348.2,0.0786,,,,,,,,6.44
214,3,233.7,339.98,0.0785,168.36,2.0,0.005,10.92,16.33,0.0,0.083,5.65
215,3,144.56,226.83,0.0784,,,,,,,,5.71
216,3,129.23,260.17,0.0783,,,,,,,,6.01
217,3,188.45,287.95,0.0783,,,,,,,,6.17
218,3,301.12,422.66,0.0782,,,,,,,,5.88
219,3,225.84,340.17,0.0781,154.51,1.833,0.004,8.92,4.33,0.0,0.083,5.66
220,3,211.76,348.75,0.078,,,,,,,,5.99
221,3,170.3,238.64,0.0779,,,,,,,,5.79
222,3,161.69,250.7,0.0779,,,,,,,,5.74
223,3,187.45,281.84,0.0778,,,,,,,,6.1
224,3,279.57,397.72,0.0777,133.02,1.583,0.0,10.08,11.75,0.083,0.083,5.76
225,3,161.71,239.08,0.0776,,,,,,,,5.69
226,3,123.53,195.61,0.0776,,,,,,,,5.1
227,3,104.11,190.99,0.0775,,,,,,,,5.94
228,3,121.57,190.64,0.0774,,,,,,,,5.31
229,3,211.35,299.81,0.0773,191.95,2.333,0.002,12.5,12.25,0.083,0.083,5.08
230,3,141.77,265.22,0.0772,,,,,,,,6.42
231,3,170.99,275.87,0.0772,,,,,,,,5.35
232,3,136.18,202.24,0.0771,,,,,,,,5.47
233,3,155.23,228.42,0.077,,,,,,,,5.94
234,3,140.56,242.17,0.0769,164.94,2.0,0.002,11.42,10.25,0.083,0.083,5.73
235,3,122.07,216.39,0.0769,,,,,,,,6.11
236,3,182.11,273.44,0.0768,,,,,,,,5.8
237,3,163.03,265.33,0.0767,,,,,,,,5.95
238,3,153.44,235.8,0.0766,,,,,,,,5.8
239,3,140.5,253.85,0.0766,204.86,2.583,0.002,12.42,13.33,0.083,0.083,5.78
240,3,264.42,338.31,0.0765,,,,,,,,6.0
241,3,131.56,211.76,0.0764,,,,,,,,5.88
242,3,240.46,358.67,0.0763,,,,,,,,5.43
243,3,156.97,276.62,0.0762,,,,,,,,4.77
244,3,136.76,220.33,0.0762,210.89,2.667,0.0,13.0,20.83,0.0,0.083,5.88
245,3,93.16,141.21,0.0761,,,,,,,,6.0
246,3,193.42,290.92,0.076,,,,,,,,5.92
247,3,10.25,94.46,0.0759,,,,,,,,6.7
248,3,240.92,349.9,0.0759,,,,,,,,5.71
249,3,192.42,309.68,0.0758,171.77,2.167,0.0,13.08,23.0,0.0,0.083,5.96
250,3,140.61,209.2,0.0757,,,,,,,,5.51
251,3,130.9,216.48,0.0756,,,,,,,,5.81
252,3,161.14,237.3,0.0756,,,,,,,,5.43
253,3,124.09,237.43,0.0755,,,,,,,,6.0
254,3,250.0,394.2,0.0754,188.87,2.583,0.0,11.92,27.75,0.0,0.083,5.31
255,3,90.98,134.38,0.0753,,,,,,,,5.88
256,3,200.95,305.43,0.0753,,,,,,,,4.91
257,3,103.19,154.94,0.0752,,,,,,,,5.16
258,3,171.16,278.08,0.0751,,,,,,,,5.7
259,3,244.29,326.19,0.075,244.88,3.083,0.0,14.0,12.25,0.0,0.083,5.64
260,3,205.92,294.12,0.075,,,,,,,,5.37
261,3,209.48,272.58,0.0749,,,,,,,,5.0
262,3,221.14,313.46,0.0748,,,,,,,,6.09
263,3,118.24,202.96,0.0747,,,,,,,,6.05
264,3,169.59,289.18,0.0747,217.05,2.667,0.0,14.5,15.17,0.0,0.083,5.94
265,3,177.22,250.63,0.0746,,,,,,,,4.74
266,3,177.27,247.28,0.0745,,,,,,,,5.66
267,3,160.6,241.3,0.0744,,,,,,,,5.77
268,3,229.1,373.43,0.0744,,,,,,,,5.5
269,3,54.34,121.4,0.0743,197.36,2.333,0.001,13.25,9.58,0.0,0.083,5.65
270,3,148.52,245.69,0.0742,,,,,,,,6.32
271,3,226.5,306.45,0.0741,,,,,,,,5.73
272,3,112.98,189.04,0.0741,,,,,,,,5.4
273,3,285.59,371.87,0.074,,,,,,,,5.1
274,3,122.12,252.33,0.0739,199.29,2.583,0.001,11.58,7.17,0.0,0.083,5.95
275,3,143.49,224.85,0.0738,,,,,,,,5.54
276,3,166.1,273.6,0.0738,,,,,,,,6.21
277,3,241.14,339.72,0.0737,,,,,,,,6.23
278,3,164.9,232.92,0.0736,,,,,,,,5.87
279,3,334.84,472.81,0.0736,173.38,2.167,0.001,11.58,6.08,0.0,0.083,5.7
280,3,159.6,239.78,0.0735,,,,,,,,5.85
281,3,122.52,186.71,0.0734,,,,,,,,5.76
282,3,117.89,200.09,0.0733,,,,,,,,5.95
283,3,309.94,420.92,0.0733,,,,,,,,5.47
284,3,183.95,265.1,0.0732,164.2,2.0,0.0,11.17,6.83,0.083,0.083,5.48
285,3,341.84,447.2,0.0731,,,,,,,,5.54
286,3,237.44,336.87,0.073,,,,,,,,5.8
287,3,226.42,325.01,0.073,,,,,,,,5.15
288,3,318.06,420.86,0.0729,,,,,,,,4.42
289,3,159.3,253.13,0.0728,195.26,2.25,0.003,12.33,8.25,0.0,0.083,5.93
290,3,172.2,270.83,0.0727,,,,,,,,5.81
291,3,159.24,266.41,0.0727,,,,,,,,5.91
292,3,155.44,237.67,0.0726,,,,,,,,6.29
293,3,288.23,406.52,0.0725,,,,,,,,5.25
294,3,167.32,251.72,0.0725,100.85,1.5,0.0,9.33,24.33,0.083,0.083,5.9
295,3,154.31,239.29,0.0724,,,,,,,,5.86
296,3,117.54,190.47,0.0723,,,,,,,,6.44
297,3,178.45,285.81,0.0722,,,,,,,,5.62
298,3,220.72,322.39,0.0722,,,,,,,,5.29
299,3,115.59,200.2,0.0721,145.09,1.833,0.0,11.17,12.75,0.0,0.083,6.37
300,3,210.96,323.58,0.072,,,,,,,,6.44
301,3,109.99,188.04,0.072,,,,,,,,5.11
302,3,100.31,167.65,0.0719,,,,,,,,5.98
303,3,181.3,270.71,0.0718,,,,,,,,5.95
304,3,81.36,135.6,0.0717,165.6,2.333,0.006,10.83,16.75,0.0,0.083,6.27
305,3,165.08,260.41,0.0717,,,,,,,,5.42
306,3,107.24,171.89,0.0716,,,,,,,,5.93
307,3,186.56,273.64,0.0715,,,,,,,,6.43
308,3,64.27,119.86,0.0714,,,,,,,,4.91
308,3,216.58,299.46,0.0799,186.97,2.333,0.001,13.25,17.42,0.083,0.083,4.95
309,3,205.16,326.34,0.0798,167.91,2.0,0.002,11.75,12.25,0.0,0.083,5.72
310,3,172.16,267.31,0.0798,,,,,,,,5.67
311,3,198.79,277.41,0.0797,,,,,,,,5.51
312,3,204.2,266.57,0.0796,,,,,,,,5.57
313,3,302.13,416.25,0.0795,,,,,,,,5.44
314,3,188.63,319.06,0.0794,189.57,2.417,0.003,12.83,16.5,0.0,0.083,5.91
315,3,90.09,152.33,0.0794,,,,,,,,5.79
316,3,285.91,406.39,0.0793,,,,,,,,6.56
317,3,194.67,287.7,0.0792,,,,,,,,5.15
318,3,121.96,222.38,0.0791,,,,,,,,5.95
319,3,188.66,278.29,0.079,155.58,2.083,0.001,12.08,15.0,0.0,0.083,5.49
320,3,126.46,195.48,0.079,,,,,,,,4.79
321,3,220.2,290.72,0.0789,,,,,,,,5.17
322,3,175.43,245.18,0.0788,,,,,,,,5.14
323,3,108.35,150.95,0.0787,,,,,,,,5.22
324,3,177.59,278.36,0.0787,184.18,2.25,0.0,14.0,9.33,0.083,0.083,6.24
325,3,268.8,377.71,0.0786,,,,,,,,6.25
326,3,262.24,354.01,0.0785,,,,,,,,5.63
327,3,150.43,209.82,0.0784,,,,,,,,5.6
328,3,211.61,325.78,0.0783,,,,,,,,6.13
329,3,201.95,294.02,0.0783,187.82,2.25,0.0,13.92,13.83,0.083,0.0,6.06
330,3,372.83,478.69,0.0782,,,,,,,,5.92
331,3,291.4,399.66,0.0781,,,,,,,,5.59
332,3,294.15,427.44,0.078,,,,,,,,5.84
333,3,228.54,310.18,0.0779,,,,,,,,5.76
334,3,187.71,285.53,0.0779,211.3,2.333,0.0,14.42,14.33,0.0,0.083,5.43
335,3,243.13,333.29,0.0778,,,,,,,,5.85
336,3,278.32,408.23,0.0777,,,,,,,,5.48
337,3,186.14,268.17,0.0776,,,,,,,,5.74
338,3,103.13,171.84,0.0776,,,,,,,,5.46
339,3,134.16,223.48,0.0775,194.73,2.167,0.0,14.25,9.67,0.0,0.083,6.22
340,3,98.17,165.35,0.0774,,,,,,,,5.14
341,3,282.18,345.27,0.0773,,,,,,,,5.23
342,3,182.0,250.93,0.0772,,,,,,,,6.17
343,3,188.03,300.8,0.0772,,,,,,,,5.33
344,3,166.89,231.0,0.0771,217.39,2.5,0.0,13.67,4.83,0.0,0.083,5.6
345,3,192.6,285.66,0.077,,,,,,,,5.98
346,3,161.83,236.36,0.0769,,,,,,,,5.68
347,3,202.9,303.42,0.0769,,,,,,,,6.05
348,3,181.37,293.99,0.0768,,,,,,,,5.25
349,3,213.45,312.99,0.0767,188.39,2.167,0.0,13.25,11.33,0.0,0.083,6.21
350,3,191.07,290.42,0.0766,,,,,,,,5.83
351,3,154.57,285.46,0.0766,,,,,,,,5.51
352,3,308.82,390.57,0.0765,,,,,,,,6.01
353,3,128.2,193.89,0.0764,,,,,,,,5.69
354,3,347.37,469.43,0.0763,208.29,2.333,0.0,15.08,7.58,0.0,0.083,5.59
355,3,231.59,306.6,0.0762,,,,,,,,4.77
356,3,170.23,244.8,0.0762,,,,,,,,5.88
357,3,69.08,143.97,0.0761,,,,,,,,5.89
358,3,244.98,328.61,0.076,,,,,,,,5.88
359,3,9.14,73.35,0.0759,208.65,2.333,0.0,14.0,7.67,0.0,0.083,6.47
360,3,325.96,426.76,0.0759,,,,,,,,5.44
361,3,307.43,399.35,0.0758,,,,,,,,6.0
362,3,180.66,256.35,0.0757,,,,,,,,5.77
363,3,160.64,215.02,0.0756,,,,,,,,5.79
364,3,203.19,280.4,0.0756,196.4,2.5,0.0,12.92,7.92,0.0,0.083,5.3
365,3,150.04,229.1,0.0755,,,,,,,,6.19
366,3,331.94,397.52,0.0754,,,,,,,,5.48
367,3,97.19,161.63,0.0753,,,,,,,,6.0
368,3,271.96,333.23,0.0753,,,,,,,,5.05
369,3,103.96,171.65,0.0752,240.29,2.75,0.001,14.25,6.08,0.0,0.083,5.22
370,3,237.69,315.9,0.0751,,,,,,,,5.8
371,3,277.72,374.08,0.075,,,,,,,,5.77
372,3,239.17,311.49,0.075,,,,,,,,5.37
373,3,245.05,288.52,0.0749,,,,,,,,5.04
374,3,269.84,381.9,0.0748,235.54,2.917,0.0,13.33,8.58,0.0,0.083,6.01
375,3,153.27,192.78,0.0747,,,,,,,,6.17
376,3,194.85,299.1,0.0747,,,,,,,,5.82
377,3,197.21,239.97,0.0746,,,,,,,,4.75
378,3,200.03,271.51,0.0745,,,,,,,,5.79
379,3,190.6,271.27,0.0744,232.92,2.917,0.001,13.08,10.33,0.0,0.083,5.85
380,3,253.11,383.92,0.0744,,,,,,,,5.48
381,3,54.86,117.52,0.0743,,,,,,,,5.72
382,3,200.83,269.15,0.0742,,,,,,,,6.34
383,3,217.78,306.44,0.0741,,,,,,,,5.66
384,3,141.51,208.99,0.0741,254.53,2.917,0.001,13.75,7.5,0.0,0.083,5.29
385,3,323.36,413.1,0.074,,,,,,,,5.19
386,3,125.83,258.48,0.0739,,,,,,,,5.32
387,3,161.5,249.32,0.0738,,,,,,,,5.17
388,3,218.0,272.19,0.0738,,,,,,,,6.04
389,3,293.65,382.91,0.0737,256.08,3.083,0.0,14.33,8.92,0.0,0.083,6.06
390,3,213.08,295.11,0.0736,,,,,,,,5.93
391,3,391.28,505.35,0.0736,,,,,,,,6.01
392,3,193.46,277.49,0.0735,,,,,,,,5.86
393,3,136.75,230.63,0.0734,,,,,,,,5.82
394,3,138.68,202.1,0.0733,235.24,3.0,0.001,14.0,13.92,0.0,0.083,6.16
395,3,345.8,417.15,0.0733,,,,,,,,5.74
396,3,229.47,289.33,0.0732,,,,,,,,5.59
397,3,408.43,503.76,0.0731,,,,,,,,5.75
398,3,288.66,388.22,0.073,,,,,,,,6.0
399,3,307.28,381.55,0.073,174.57,2.167,0.002,12.08,25.17,0.0,0.083,5.29
400,3,323.4,442.15,0.0729,,,,,,,,4.43
401,3,201.74,298.5,0.0728,,,,,,,,5.85
402,3,209.62,300.64,0.0727,,,,,,,,5.83
403,3,239.06,311.47,0.0727,,,,,,,,5.85
404,3,214.7,284.62,0.0726,217.14,2.667,0.001,12.17,16.67,0.0,0.083,6.28
405,3,317.31,421.92,0.0725,,,,,,,,5.33
406,3,192.06,295.76,0.0725,,,,,,,,6.11
407,3,187.23,278.55,0.0724,,,,,,,,5.87
408,3,137.94,198.46,0.0723,,,,,,,,6.55
409,3,209.11,308.32,0.0722,202.74,2.167,0.001,13.83,15.58,0.083,0.083,5.72
410,3,264.03,327.58,0.0722,,,,,,,,5.53
411,3,168.1,262.84,0.0721,,,,,,,,6.8
412,3,312.01,399.0,0.072,,,,,,,,6.07
413,3,167.68,217.43,0.072,,,,,,,,5.25
414,3,104.32,181.15,0.0719,231.02,2.667,0.0,13.83,15.42,0.0,0.083,5.96
415,3,223.05,317.79,0.0718,,,,,,,,6.21
416,3,104.13,168.1,0.0717,,,,,,,,6.62
417,3,230.37,297.81,0.0717,,,,,,,,5.76
417,3,126.99,181.47,0.0799,114.6,1.5,0.002,10.08,17.0,0.0,0.5,4.11
418,3,173.68,269.62,0.0798,,,,,,,,5.91
419,3,132.37,204.88,0.0798,158.48,2.0,0.003,11.42,7.08,0.0,0.5,4.89
420,3,70.05,115.75,0.0797,,,,,,,,4.57
421,3,149.06,215.03,0.0796,,,,,,,,5.53
422,3,227.67,290.72,0.0795,,,,,,,,5.52
423,3,162.3,245.1,0.0794,,,,,,,,5.01
424,3,55.53,123.78,0.0794,140.15,1.583,0.002,10.42,10.67,0.0,0.5,4.0
425,3,257.9,344.28,0.0793,,,,,,,,6.48
426,3,171.47,221.59,0.0792,,,,,,,,4.62
427,3,86.04,153.22,0.0791,,,,,,,,4.91
428,3,189.47,234.29,0.079,,,,,,,,5.31
429,3,89.14,121.53,0.079,141.4,1.75,0.001,10.42,9.25,0.0,0.5,3.52
430,3,200.95,285.45,0.0789,,,,,,,,4.75
431,3,153.57,213.2,0.0788,,,,,,,,4.8
432,3,24.52,71.67,0.0787,,,,,,,,4.22
433,3,187.53,261.2,0.0787,,,,,,,,5.61
434,3,275.26,412.53,0.0786,148.22,1.917,0.001,9.92,3.92,0.0,0.5,6.57
435,3,242.28,345.01,0.0785,,,,,,,,5.43
436,3,128.28,220.37,0.0784,,,,,,,,4.91
437,3,221.18,329.87,0.0783,,,,,,,,6.06
438,3,146.21,257.03,0.0783,,,,,,,,5.79
439,3,254.87,352.72,0.0782,161.21,1.917,0.001,10.5,6.58,0.0,0.5,6.07
440,3,176.93,236.93,0.0781,,,,,,,,5.56
441,3,275.09,362.15,0.078,,,,,,,,5.84
442,3,174.42,247.78,0.0779,,,,,,,,4.94
443,3,180.92,259.59,0.0779,,,,,,,,4.7
444,3,105.15,163.89,0.0778,155.03,2.083,0.001,9.75,6.83,0.0,0.5,5.71
445,3,233.49,361.9,0.0777,,,,,,,,5.75
446,3,114.95,164.98,0.0776,,,,,,,,4.6
447,3,103.01,154.27,0.0776,,,,,,,,4.2
448,3,76.04,147.79,0.0775,,,,,,,,5.45
449,3,119.99,168.21,0.0774,114.05,1.667,0.0,9.5,17.25,0.0,0.5,4.77
450,3,198.11,257.49,0.0773,,,,,,,,4.8
451,3,185.85,273.95,0.0772,,,,,,,,5.98
452,3,143.47,194.53,0.0772,,,,,,,,4.83
453,3,140.75,200.41,0.0771,,,,,,,,4.13
454,3,189.92,254.25,0.077,119.32,1.417,0.003,9.25,6.42,0.0,0.5,5.91
455,3,96.49,148.12,0.0769,,,,,,,,3.89
456,3,231.39,291.24,0.0769,,,,,,,,6.05
457,3,139.77,219.99,0.0768,,,,,,,,5.33
458,3,179.19,254.23,0.0767,,,,,,,,5.59
459,3,151.72,214.61,0.0766,111.58,1.75,0.002,10.08,28.67,0.0,0.5,4.76
460,3,118.17,212.58,0.0766,,,,,,,,5.13
461,3,180.13,253.63,0.0765,,,,,,,,6.09
462,3,73.46,128.46,0.0764,,,,,,,,5.63
463,3,282.62,340.45,0.0763,,,,,,,,5.63
464,3,133.27,196.18,0.0762,146.34,1.583,0.002,11.58,7.42,0.0,0.5,4.62
465,3,120.28,188.81,0.0762,,,,,,,,5.28
466,3,13.16,45.6,0.0761,,,,,,,,3.65
467,3,243.66,305.68,0.076,,,,,,,,5.62
468,3,16.08,62.45,0.0759,,,,,,,,5.32
469,3,236.29,333.51,0.0759,134.47,1.5,0.002,10.83,17.17,0.083,0.417,5.52
470,3,231.82,291.35,0.0758,,,,,,,,5.59
471,3,63.05,110.66,0.0757,,,,,,,,4.28
472,3,76.86,124.75,0.0756,,,,,,,,4.29
473,3,143.93,204.54,0.0756,,,,,,,,5.48
474,3,85.24,120.84,0.0755,122.77,1.5,0.0,10.08,10.83,0.0,0.5,4.81
475,3,310.32,386.53,0.0754,,,,,,,,5.18
476,3,48.02,76.18,0.0753,,,,,,,,4.24
477,3,174.64,228.15,0.0753,,,,,,,,4.22
478,3,71.6,138.16,0.0752,,,,,,,,4.23
479,3,139.79,195.62,0.0751,151.1,1.917,0.0,10.58,8.42,0.0,0.5,5.0
480,3,204.09,284.89,0.075,,,,,,,,4.35
481,3,183.33,259.8,0.075,,,,,,,,4.86
482,3,110.38,154.62,0.0749,,,,,,,,3.95
483,3,265.96,338.07,0.0748,,,,,,,,5.85
484,3,101.88,148.99,0.0747,136.36,1.917,0.001,9.33,13.5,0.0,0.5,5.28
485,3,83.89,172.73,0.0747,,,,,,,,5.5
486,3,96.64,142.92,0.0746,,,,,,,,3.9
487,3,182.85,248.54,0.0745,,,,,,,,5.18
488,3,115.15,152.64,0.0744,,,,,,,,4.87
489,3,132.13,253.82,0.0744,157.82,2.167,0.002,9.75,7.33,0.0,0.5,5.2
490,3,11.73,55.31,0.0743,,,,,,,,3.87
491,3,79.93,132.41,0.0742,,,,,,,,5.71
492,3,141.26,233.98,0.0741,,,,,,,,4.98
493,3,132.6,178.87,0.0741,,,,,,,,4.32
494,3,232.25,310.87,0.074,148.36,2.083,0.0,10.75,6.83,0.0,0.5,4.8
495,3,140.2,246.58,0.0739,,,,,,,,5.14
496,3,134.63,194.89,0.0738,,,,,,,,5.27
497,3,165.0,241.85,0.0738,,,,,,,,5.64
498,3,142.24,215.36,0.0737,,,,,,,,6.83
499,3,175.73,260.68,0.0736,155.03,1.833,0.001,10.25,1.17,0.0,0.5,5.0
500,3,190.66,279.77,0.0736,,,,,,,,5.9
501,3,108.75,151.74,0.0735,,,,,,,,4.86
502,3,107.85,170.49,0.0734,,,,,,,,5.34
503,3,107.97,147.61,0.0733,,,,,,,,4.4
504,3,192.68,278.07,0.0733,148.24,1.833,0.0,9.58,5.08,0.0,0.5,5.28
505,3,116.82,174.82,0.0732,,,,,,,,4.74
506,3,325.05,404.95,0.0731,,,,,,,,5.64
507,3,127.4,188.45,0.073,,,,,,,,5.16
508,3,304.96,373.49,0.073,,,,,,,,5.08
509,3,260.63,360.82,0.0729,147.63,1.833,0.0,10.08,2.5,0.0,0.5,4.44
510,3,104.46,202.46,0.0728,,,,,,,,5.12
511,3,142.5,191.55,0.0727,,,,,,,,5.7
512,3,215.11,325.25,0.0727,,,,,,,,5.99
513,3,167.17,242.82,0.0726,,,,,,,,5.36
514,3,269.09,315.33,0.0725,152.32,2.083,0.001,9.58,3.33,0.0,0.5,4.87
515,3,113.29,173.68,0.0725,,,,,,,,5.5
516,3,166.67,255.55,0.0724,,,,,,,,5.3
517,3,53.28,93.35,0.0723,,,,,,,,4.87
518,3,138.09,189.71,0.0722,,,,,,,,4.81
519,3,125.95,208.09,0.0722,145.03,1.917,0.0,9.67,8.25,0.0,0.5,5.17
520,3,99.44,178.38,0.0721,,,,,,,,5.95
521,3,274.29,360.47,0.072,,,,,,,,5.52
522,3,123.34,195.01,0.072,,,,,,,,4.63
523,3,50.04,117.51,0.0719,,,,,,,,4.66
524,3,160.14,248.43,0.0718,145.7,1.917,0.001,10.92,20.17,0.0,0.5,6.09
525,3,56.74,148.46,0.0717,,,,,,,,6.07
526,3,148.4,202.42,0.0717,,,,,,,,5.08
527,3,107.58,176.82,0.0716,,,,,,,,4.92
528,3,178.41,250.73,0.0715,,,,,,,,6.53
529,3,30.28,70.78,0.0714,143.59,2.167,0.002,9.42,13.17,0.0,0.5,4.26
530,3,178.35,239.85,0.0714,,,,,,,,4.73
531,3,148.41,216.59,0.0713,,,,,,,,5.83
532,3,284.55,338.81,0.0712,,,,,,,,5.19
533,3,99.18,223.72,0.0712,,,,,,,,5.32
533,3,133.96,203.91,0.0799,128.06,1.5,0.012,10.5,11.0,0.0,0.333,4.49
534,3,167.69,279.88,0.0798,151.14,1.917,0.01,10.17,11.33,0.0,0.333,6.16
535,3,132.98,211.69,0.0798,,,,,,,,5.53
536,3,91.76,154.7,0.0797,,,,,,,,5.35
537,3,149.39,222.88,0.0796,,,,,,,,6.09
538,3,228.87,306.29,0.0795,,,,,,,,5.67
539,3,200.48,284.36,0.0794,144.47,1.917,0.005,8.75,4.33,0.0,0.417,5.63
540,3,46.44,100.56,0.0794,,,,,,,,4.81
541,3,268.46,342.33,0.0793,,,,,,,,6.46
542,3,174.92,227.92,0.0792,,,,,,,,5.12
543,3,71.49,150.76,0.0791,,,,,,,,5.52
544,3,193.83,278.56,0.079,184.28,2.167,0.001,11.17,4.58,0.0,0.5,5.63
545,3,95.27,138.1,0.079,,,,,,,,3.82
546,3,204.37,285.73,0.0789,,,,,,,,4.79
547,3,147.16,210.02,0.0788,,,,,,,,5.16
548,3,26.92,72.07,0.0787,,,,,,,,4.66
549,3,198.19,270.45,0.0787,153.88,1.75,0.001,9.58,2.83,0.0,0.5,5.58
550,3,284.73,377.76,0.0786,,,,,,,,6.34
551,3,266.12,357.17,0.0785,,,,,,,,5.63
552,3,112.55,200.59,0.0784,,,,,,,,5.08
553,3,225.41,333.71,0.0783,,,,,,,,6.11
554,3,169.96,240.1,0.0783,131.8,1.75,0.008,9.17,4.58,0.0,0.5,5.73
555,3,265.6,359.83,0.0782,,,,,,,,6.1
556,3,179.18,272.53,0.0781,,,,,,,,5.56
557,3,276.63,358.17,0.078,,,,,,,,5.91
558,3,178.07,232.48,0.0779,,,,,,,,4.83
559,3,185.46,236.19,0.0779,141.34,1.917,0.02,10.17,9.58,0.0,0.5,4.6
560,3,103.11,165.83,0.0778,,,,,,,,5.7
561,3,236.86,353.06,0.0777,,,,,,,,5.47
562,3,136.48,241.14,0.0776,,,,,,,,4.85
563,3,109.63,176.58,0.0776,,,,,,,,4.43
564,3,77.12,137.99,0.0775,136.94,1.5,0.01,10.92,8.17,0.0,0.5,5.65
565,3,113.47,172.02,0.0774,,,,,,,,5.04
